Added 6331; Current median 6331; running total 6331
Added 8412; Current median 4308; running total 4420
Added 1007; Current median 4308; running total 8728
Added 4785; Current median 4308; running total 3036
Added 3928; Current median 4308; running total 7344
Added 2371; Current median 4292; running total 1636
Added 4724; Current median 4308; running total 5944
Added 8912; Current median 4308; running total 252
Added 7101; Current median 4312; running total 4564
Added 503; Current median 4308; running total 8872
Added 9036; Current median 4312; running total 3184
Added 6549; Current median 4312; running total 7496
Added 9506; Current median 4315; running total 1811
Added 552; Current median 4312; running total 6123
Added 4210; Current median 4312; running total 435
Added 6109; Current median 4312; running total 4747
Added 1942; Current median 4312; running total 9059
Added 8138; Current median 4312; running total 3371
Added 3646; Current median 4312; running total 7683
Added 4786; Current median 4312; running total 1995
Added 5737; Current median 4315; running total 6310
Added 1968; Current median 4312; running total 622
Added 7533; Current median 4315; running total 4937
Added 3679; Current median 4312; running total 9249
Added 7277; Current median 4315; running total 3564
Added 4588; Current median 4315; running total 7879
Added 6968; Current median 4319; running total 2198
Added 4938; Current median 4319; running total 6517
Added 7682; Current median 4333; running total 850
Added 3195; Current median 4319; running total 5169
Added 1379; Current median 4319; running total 9488
Added 2201; Current median 4315; running total 3803
Added 4989; Current median 4319; running total 8122
Added 9069; Current median 4319; running total 2441
Added 8580; Current median 4333; running total 6774
Added 8797; Current median 4333; running total 1107
Added 3992; Current median 4333; running total 5440
Added 918; Current median 4319; running total 9759
Added 1422; Current median 4319; running total 4078
Added 1656; Current median 4315; running total 8393
Added 5667; Current median 4319; running total 2712
Added 5894; Current median 4319; running total 7031
Added 4345; Current median 4333; running total 1364
Added 4571; Current median 4333; running total 5697
Added 152; Current median 4333; running total 30
Added 7900; Current median 4333; running total 4363
Added 4465; Current median 4345; running total 8708
Added 6658; Current median 4345; running total 3053
Added 3867; Current median 4345; running total 7398
Added 6712; Current median 4345; running total 1743
Added 3921; Current median 4345; running total 6088
Added 4116; Current median 4333; running total 421
Added 1468; Current median 4333; running total 4754
Added 9219; Current median 4333; running total 9087
Added 275; Current median 4333; running total 3420
Added 3843; Current median 4319; running total 7739
Added 3431; Current median 4319; running total 2058
Added 4481; Current median 4319; running total 6377
Added 4047; Current median 4319; running total 696
Added 1722; Current median 4315; running total 5011
Added 642; Current median 4315; running total 9326
Added 4329; Current median 4315; running total 3641
Added 7322; Current median 4319; running total 7960
Added 5746; Current median 4319; running total 2279
Added 2827; Current median 4319; running total 6598
Added 6911; Current median 4319; running total 917
Added 4709; Current median 4329; running total 5246
Added 1305; Current median 4319; running total 9565
Added 7119; Current median 4329; running total 3894
Added 8826; Current median 4329; running total 8223
Added 1762; Current median 4329; running total 2552
Added 7946; Current median 4329; running total 6881
Added 5889; Current median 4333; running total 1214
Added 2343; Current median 4329; running total 5543
Added 6946; Current median 4333; running total 9876
Added 1320; Current median 4329; running total 4205
Added 2769; Current median 4329; running total 8534
Added 456; Current median 4319; running total 2853
Added 7120; Current median 4329; running total 7182
Added 2238; Current median 4319; running total 1501
Added 1190; Current median 4319; running total 5820
Added 5353; Current median 4319; running total 139
Added 1880; Current median 4319; running total 4458
Added 8352; Current median 4319; running total 8777
Added 7115; Current median 4329; running total 3106
Added 2733; Current median 4319; running total 7425
Added 9059; Current median 4329; running total 1754
Added 5210; Current median 4329; running total 6083
Added 2518; Current median 4329; running total 412
Added 4867; Current median 4329; running total 4741
Added 9760; Current median 4333; running total 9074
Added 7949; Current median 4333; running total 3407
Added 3194; Current median 4333; running total 7740
Added 3076; Current median 4329; running total 2069
Added 1449; Current median 4329; running total 6398
Added 5909; Current median 4329; running total 727
Added 1761; Current median 4329; running total 5056
Added 6594; Current median 4329; running total 9385
Added 1504; Current median 4329; running total 3714
Added 2431; Current median 4319; running total 8033
Added 1768; Current median 4319; running total 2352
Added 5469; Current median 4319; running total 6671
Added 9504; Current median 4329; running total 1000
Added 9948; Current median 4329; running total 5329
Added 7520; Current median 4333; running total 9662
Added 8988; Current median 4333; running total 3995
Added 4046; Current median 4333; running total 8328
Added 9412; Current median 4333; running total 2661
Added 5653; Current median 4345; running total 7006
Added 8095; Current median 4345; running total 1351
Added 9087; Current median 4348; running total 5699
Added 2074; Current median 4345; running total 44
Added 7543; Current median 4348; running total 4392
Added 6016; Current median 4348; running total 8740
Added 8836; Current median 4351; running total 3091
Added 1045; Current median 4348; running total 7439
Added 3638; Current median 4348; running total 1787
Added 651; Current median 4345; running total 6132
Added 8701; Current median 4348; running total 480
Added 3648; Current median 4345; running total 4825
Added 2571; Current median 4345; running total 9170
Added 1316; Current median 4333; running total 3503
Added 6186; Current median 4345; running total 7848
Added 5935; Current median 4345; running total 2193
Added 8055; Current median 4348; running total 6541
Added 171; Current median 4345; running total 886
Added 4198; Current median 4345; running total 5231
Added 6528; Current median 4345; running total 9576
Added 8611; Current median 4348; running total 3924
Added 9842; Current median 4348; running total 8272
Added 1315; Current median 4348; running total 2620
Added 3236; Current median 4345; running total 6965
Added 4305; Current median 4345; running total 1310
Added 1338; Current median 4333; running total 5643
Added 6734; Current median 4345; running total 9988
Added 2783; Current median 4333; running total 4321
Added 2669; Current median 4333; running total 8654
Added 6182; Current median 4333; running total 2987
Added 32; Current median 4333; running total 7320
Added 6772; Current median 4333; running total 1653
Added 8309; Current median 4345; running total 5998
Added 9261; Current median 4345; running total 343
Added 9668; Current median 4348; running total 4691
Added 2747; Current median 4345; running total 9036
Added 438; Current median 4345; running total 3381
Added 5347; Current median 4345; running total 7726
Added 9678; Current median 4348; running total 2074
Added 3760; Current median 4345; running total 6419
Added 9470; Current median 4348; running total 767
Added 1593; Current median 4345; running total 5112
Added 9181; Current median 4348; running total 9460
Added 4723; Current median 4348; running total 3808
Added 7164; Current median 4351; running total 8159
Added 2846; Current median 4348; running total 2507
Added 615; Current median 4348; running total 6855
Added 5835; Current median 4348; running total 1203
Added 2213; Current median 4348; running total 5551
Added 8766; Current median 4348; running total 9899
Added 7555; Current median 4351; running total 4250
Added 4165; Current median 4348; running total 8598
Added 4197; Current median 4348; running total 2946
Added 3521; Current median 4345; running total 7291
Added 9892; Current median 4348; running total 1639
Added 2636; Current median 4345; running total 5984
Added 8063; Current median 4348; running total 332
Added 4937; Current median 4348; running total 4680
Added 1863; Current median 4348; running total 9028
Added 5015; Current median 4348; running total 3376
Added 2556; Current median 4348; running total 7724
Added 5456; Current median 4348; running total 2072
Added 4442; Current median 4351; running total 6423
Added 5593; Current median 4351; running total 774
Added 5629; Current median 4352; running total 5126
Added 2111; Current median 4351; running total 9477
Added 5067; Current median 4352; running total 3829
Added 9462; Current median 4352; running total 8181
Added 9453; Current median 4357; running total 2538
Added 3994; Current median 4352; running total 6890
Added 1789; Current median 4352; running total 1242
Added 126; Current median 4351; running total 5593
Added 5373; Current median 4352; running total 9945
Added 9336; Current median 4352; running total 4297
Added 8373; Current median 4357; running total 8654
Added 7902; Current median 4357; running total 3011
Added 2020; Current median 4357; running total 7368
Added 8378; Current median 4357; running total 1725
Added 7290; Current median 4358; running total 6083
Added 3823; Current median 4357; running total 440
Added 5110; Current median 4358; running total 4798
Added 3313; Current median 4357; running total 9155
Added 5405; Current median 4358; running total 3513
Added 8446; Current median 4358; running total 7871
Added 4257; Current median 4358; running total 2229
Added 1275; Current median 4357; running total 6586
Added 2348; Current median 4357; running total 943
Added 3941; Current median 4352; running total 5295
Added 2365; Current median 4352; running total 9647
Added 9340; Current median 4352; running total 3999
Added 1; Current median 4352; running total 8351
Added 2271; Current median 4351; running total 2702
Added 7818; Current median 4352; running total 7054
Added 2359; Current median 4351; running total 1405
Added 7102; Current median 4352; running total 5757
Added 1750; Current median 4351; running total 108
Added 1842; Current median 4351; running total 4459
Added 7850; Current median 4351; running total 8810
Added 2598; Current median 4351; running total 3161
Added 4445; Current median 4351; running total 7512
Added 1654; Current median 4351; running total 1863
Added 5873; Current median 4351; running total 6214
Added 8051; Current median 4352; running total 566
Added 4564; Current median 4352; running total 4918
Added 5148; Current median 4357; running total 9275
Added 1766; Current median 4352; running total 3627
Added 2039; Current median 4352; running total 7979
Added 8089; Current median 4352; running total 2331
Added 29; Current median 4352; running total 6683
Added 57; Current median 4351; running total 1034
Added 3145; Current median 4351; running total 5385
Added 2094; Current median 4348; running total 9733
Added 2700; Current median 4348; running total 4081
Added 7475; Current median 4348; running total 8429
Added 4447; Current median 4351; running total 2780
Added 5820; Current median 4351; running total 7131
Added 5758; Current median 4352; running total 1483
Added 7557; Current median 4352; running total 5835
Added 7246; Current median 4357; running total 192
Added 4073; Current median 4352; running total 4544
Added 5065; Current median 4357; running total 8901
Added 4131; Current median 4352; running total 3253
Added 9961; Current median 4357; running total 7610
Added 9526; Current median 4357; running total 1967
Added 1145; Current median 4357; running total 6324
Added 5690; Current median 4357; running total 681
Added 40; Current median 4357; running total 5038
Added 8482; Current median 4357; running total 9395
Added 1421; Current median 4357; running total 3752
Added 3325; Current median 4352; running total 8104
Added 2236; Current median 4352; running total 2456
Added 2736; Current median 4351; running total 6807
Added 8450; Current median 4352; running total 1159
Added 431; Current median 4351; running total 5510
Added 6918; Current median 4352; running total 9862
Added 6235; Current median 4352; running total 4214
Added 9347; Current median 4357; running total 8571
Added 706; Current median 4352; running total 2923
Added 9523; Current median 4357; running total 7280
Added 833; Current median 4352; running total 1632
Added 7014; Current median 4357; running total 5989
Added 3442; Current median 4352; running total 341
Added 6430; Current median 4357; running total 4698
Added 643; Current median 4352; running total 9050
Added 3191; Current median 4352; running total 3402
Added 4050; Current median 4351; running total 7753
Added 8044; Current median 4352; running total 2105
Added 7043; Current median 4352; running total 6457
Added 1308; Current median 4352; running total 809
Added 7633; Current median 4352; running total 5161
Added 3604; Current median 4352; running total 9513
Added 8248; Current median 4352; running total 3865
Added 8; Current median 4352; running total 8217
Added 4005; Current median 4351; running total 2568
Added 4321; Current median 4351; running total 6919
Added 3842; Current median 4348; running total 1267
Added 1018; Current median 4348; running total 5615
Added 1890; Current median 4345; running total 9960
Added 9273; Current median 4348; running total 4308
Added 2947; Current median 4345; running total 8653
Added 8400; Current median 4348; running total 3001
Added 8948; Current median 4348; running total 7349
Added 1389; Current median 4348; running total 1697
Added 4093; Current median 4345; running total 6042
Added 2626; Current median 4345; running total 387
Added 1967; Current median 4333; running total 4720
Added 1424; Current median 4333; running total 9053
Added 1123; Current median 4329; running total 3382
Added 7340; Current median 4333; running total 7715
Added 3953; Current median 4329; running total 2044
Added 1812; Current median 4329; running total 6373
Added 2915; Current median 4321; running total 694
Added 4109; Current median 4321; running total 5015
Added 7903; Current median 4321; running total 9336
Added 2493; Current median 4321; running total 3657
Added 8232; Current median 4321; running total 7978
Added 1681; Current median 4321; running total 2299
Added 3230; Current median 4319; running total 6618
Added 7348; Current median 4321; running total 939
Added 1855; Current median 4319; running total 5258
Added 7745; Current median 4321; running total 9579
Added 7254; Current median 4321; running total 3900
Added 266; Current median 4321; running total 8221
Added 2603; Current median 4319; running total 2540
Added 4356; Current median 4321; running total 6861
Added 7813; Current median 4321; running total 1182
Added 7492; Current median 4329; running total 5511
Added 9156; Current median 4329; running total 9840
Added 3254; Current median 4329; running total 4169
Added 1197; Current median 4321; running total 8490
Added 2051; Current median 4321; running total 2811
Added 6194; Current median 4321; running total 7132
Added 1663; Current median 4321; running total 1453
Added 3661; Current median 4319; running total 5772
Added 953; Current median 4319; running total 91
Added 3818; Current median 4315; running total 4406
Added 3278; Current median 4315; running total 8721
Added 7029; Current median 4315; running total 3036
Added 8676; Current median 4319; running total 7355
Added 4414; Current median 4319; running total 1674
Added 4760; Current median 4321; running total 5995
Added 8289; Current median 4321; running total 316
Added 1100; Current median 4321; running total 4637
Added 2683; Current median 4319; running total 8956
Added 2823; Current median 4319; running total 3275
Added 7301; Current median 4319; running total 7594
Added 2131; Current median 4319; running total 1913
Added 37; Current median 4315; running total 6228
Added 7535; Current median 4319; running total 547
Added 5245; Current median 4319; running total 4866
Added 3745; Current median 4319; running total 9185
Added 4804; Current median 4319; running total 3504
Added 2392; Current median 4319; running total 7823
Added 383; Current median 4315; running total 2138
Added 7740; Current median 4319; running total 6457
Added 4618; Current median 4319; running total 776
Added 1291; Current median 4319; running total 5095
Added 2276; Current median 4315; running total 9410
Added 7683; Current median 4319; running total 3729
Added 3967; Current median 4315; running total 8044
Added 5828; Current median 4319; running total 2363
Added 7131; Current median 4319; running total 6682
Added 4360; Current median 4321; running total 1003
Added 3000; Current median 4319; running total 5322
Added 193; Current median 4319; running total 9641
Added 4456; Current median 4319; running total 3960
Added 2002; Current median 4319; running total 8279
Added 3557; Current median 4315; running total 2594
Added 4104; Current median 4315; running total 6909
Added 8480; Current median 4315; running total 1224
Added 4450; Current median 4319; running total 5543
Added 542; Current median 4315; running total 9858
Added 6756; Current median 4319; running total 4177
Added 1898; Current median 4315; running total 8492
Added 7712; Current median 4319; running total 2811
Added 8616; Current median 4319; running total 7130
Added 5118; Current median 4321; running total 1451
Added 1821; Current median 4319; running total 5770
Added 6245; Current median 4321; running total 91
Added 5194; Current median 4321; running total 4412
Added 6576; Current median 4329; running total 8741
Added 8643; Current median 4329; running total 3070
Added 6394; Current median 4333; running total 7403
Added 2208; Current median 4329; running total 1732
Added 4325; Current median 4329; running total 6061
Added 7350; Current median 4329; running total 390
Added 9080; Current median 4333; running total 4723
Added 5921; Current median 4333; running total 9056
Added 556; Current median 4333; running total 3389
Added 3244; Current median 4329; running total 7718
Added 7090; Current median 4333; running total 2051
Added 5202; Current median 4333; running total 6384
Added 1188; Current median 4333; running total 717
Added 6468; Current median 4333; running total 5050
Added 5101; Current median 4345; running total 9395
Added 7916; Current median 4345; running total 3740
Added 1322; Current median 4345; running total 8085
Added 2085; Current median 4333; running total 2418
Added 7364; Current median 4345; running total 6763
Added 7356; Current median 4345; running total 1108
Added 7726; Current median 4348; running total 5456
Added 6801; Current median 4348; running total 9804
Added 3820; Current median 4348; running total 4152
Added 1355; Current median 4345; running total 8497
Added 5757; Current median 4348; running total 2845
Added 6139; Current median 4348; running total 7193
Added 9444; Current median 4351; running total 1544
Added 8855; Current median 4351; running total 5895
Added 7466; Current median 4352; running total 247
Added 5501; Current median 4352; running total 4599
Added 4843; Current median 4356; running total 8955
Added 2278; Current median 4352; running total 3307
Added 4483; Current median 4356; running total 7663
Added 7980; Current median 4356; running total 2019
Added 9162; Current median 4357; running total 6376
Added 8844; Current median 4357; running total 733
Added 6237; Current median 4358; running total 5091
Added 5404; Current median 4358; running total 9449
Added 7644; Current median 4360; running total 3809
Added 246; Current median 4358; running total 8167
Added 9236; Current median 4360; running total 2527
Added 3995; Current median 4358; running total 6885
Added 7700; Current median 4360; running total 1245
Added 1670; Current median 4358; running total 5603
Added 9247; Current median 4360; running total 9963
Added 8408; Current median 4360; running total 4323
Added 5882; Current median 4368; running total 8691
Added 2956; Current median 4360; running total 3051
Added 8871; Current median 4368; running total 7419
Added 24; Current median 4360; running total 1779
Added 9591; Current median 4368; running total 6147
Added 8461; Current median 4368; running total 515
Added 5503; Current median 4414; running total 4929
Added 3681; Current median 4368; running total 9297
Added 3586; Current median 4368; running total 3665
Added 3446; Current median 4360; running total 8025
Added 3933; Current median 4360; running total 2385
Added 7948; Current median 4360; running total 6745
Added 755; Current median 4360; running total 1105
Added 8905; Current median 4360; running total 5465
Added 9056; Current median 4368; running total 9833
Added 8952; Current median 4368; running total 4201
Added 4336; Current median 4368; running total 8569
Added 7200; Current median 4368; running total 2937
Added 7267; Current median 4414; running total 7351
Added 539; Current median 4368; running total 1719
Added 2666; Current median 4368; running total 6087
Added 6709; Current median 4368; running total 455
Added 9150; Current median 4414; running total 4869
Added 8495; Current median 4414; running total 9283
Added 1926; Current median 4414; running total 3697
Added 8598; Current median 4414; running total 8111
Added 5627; Current median 4417; running total 2528
Added 4023; Current median 4414; running total 6942
Added 9464; Current median 4417; running total 1359
Added 9489; Current median 4417; running total 5776
Added 704; Current median 4417; running total 193
Added 2804; Current median 4414; running total 4607
Added 2250; Current median 4414; running total 9021
Added 8040; Current median 4414; running total 3435
Added 1940; Current median 4414; running total 7849
Added 4282; Current median 4368; running total 2217
Added 7908; Current median 4414; running total 6631
Added 2173; Current median 4368; running total 999
Added 7997; Current median 4414; running total 5413
Added 4918; Current median 4414; running total 9827
Added 4749; Current median 4417; running total 4244
Added 9544; Current median 4417; running total 8661
Added 2550; Current median 4417; running total 3078
Added 6514; Current median 4417; running total 7495
Added 2136; Current median 4417; running total 1912
Added 7662; Current median 4417; running total 6329
Added 5074; Current median 4424; running total 753
Added 2408; Current median 4417; running total 5170
Added 1963; Current median 4417; running total 9587
Added 4557; Current median 4417; running total 4004
Added 9874; Current median 4424; running total 8428
Added 9998; Current median 4424; running total 2852
Added 3727; Current median 4424; running total 7276
Added 2406; Current median 4417; running total 1693
Added 6409; Current median 4424; running total 6117
Added 5176; Current median 4424; running total 541
Added 1132; Current median 4424; running total 4965
Added 397; Current median 4417; running total 9382
Added 5419; Current median 4424; running total 3806
Added 1892; Current median 4417; running total 8223
Added 801; Current median 4417; running total 2640
Added 7999; Current median 4417; running total 7057
Added 665; Current median 4417; running total 1474
Added 2991; Current median 4414; running total 5888
Added 3294; Current median 4414; running total 302
Added 1680; Current median 4368; running total 4670
Added 4966; Current median 4414; running total 9084
Added 4652; Current median 4414; running total 3498
Added 9455; Current median 4417; running total 7915
Added 7870; Current median 4417; running total 2332
Added 5063; Current median 4424; running total 6756
Added 9595; Current median 4424; running total 1180
Added 6743; Current median 4429; running total 5609
Added 2629; Current median 4424; running total 33
Added 2617; Current median 4424; running total 4457
Added 4630; Current median 4424; running total 8881
Added 2475; Current median 4424; running total 3305
Added 1738; Current median 4417; running total 7722
Added 4405; Current median 4417; running total 2139
Added 5250; Current median 4417; running total 6556
Added 9649; Current median 4424; running total 980
Added 944; Current median 4417; running total 5397
Added 4990; Current median 4424; running total 9821
Added 3582; Current median 4417; running total 4238
Added 5580; Current median 4424; running total 8662
Added 9671; Current median 4424; running total 3086
Added 2014; Current median 4424; running total 7510
Added 900; Current median 4417; running total 1927
Added 1785; Current median 4417; running total 6344
Added 5170; Current median 4417; running total 761
Added 1248; Current median 4417; running total 5178
Added 2312; Current median 4414; running total 9592
Added 2881; Current median 4414; running total 4006
Added 6376; Current median 4414; running total 8420
Added 3059; Current median 4414; running total 2834
Added 5351; Current median 4414; running total 7248
Added 519; Current median 4414; running total 1662
Added 1956; Current median 4405; running total 6067
Added 5445; Current median 4414; running total 481
Added 2181; Current median 4405; running total 4886
Added 7179; Current median 4414; running total 9300
Added 7412; Current median 4414; running total 3714
Added 9257; Current median 4417; running total 8131
Added 3357; Current median 4414; running total 2545
Added 1475; Current median 4414; running total 6959
Added 7532; Current median 4414; running total 1373
Added 851; Current median 4414; running total 5787
Added 3222; Current median 4405; running total 192
Added 6815; Current median 4414; running total 4606
Added 1053; Current median 4405; running total 9011
Added 1765; Current median 4405; running total 3416
Added 3824; Current median 4368; running total 7784
Added 2256; Current median 4368; running total 2152
Added 2288; Current median 4360; running total 6512
Added 8895; Current median 4368; running total 880
Added 9330; Current median 4368; running total 5248
Added 1771; Current median 4368; running total 9616
Added 4111; Current median 4360; running total 3976
Added 2299; Current median 4360; running total 8336
Added 146; Current median 4358; running total 2694
Added 6283; Current median 4360; running total 7054
Added 1782; Current median 4358; running total 1412
Added 6770; Current median 4360; running total 5772
Added 4771; Current median 4360; running total 132
Added 8755; Current median 4368; running total 4500
Added 7328; Current median 4368; running total 8868
Added 3872; Current median 4368; running total 3236
Added 6722; Current median 4368; running total 7604
Added 5093; Current median 4405; running total 2009
Added 4669; Current median 4405; running total 6414
Added 3163; Current median 4405; running total 819
Added 1622; Current median 4368; running total 5187
Added 1328; Current median 4368; running total 9555
Added 2146; Current median 4360; running total 3915
Added 3427; Current median 4360; running total 8275
Added 8609; Current median 4360; running total 2635
Added 8848; Current median 4368; running total 7003
Added 9930; Current median 4368; running total 1371
Added 5279; Current median 4405; running total 5776
Added 3060; Current median 4368; running total 144
Added 9554; Current median 4405; running total 4549
Added 2391; Current median 4368; running total 8917
Added 4636; Current median 4405; running total 3322
Added 7240; Current median 4405; running total 7727
Added 7849; Current median 4414; running total 2141
Added 1465; Current median 4405; running total 6546
Added 8335; Current median 4414; running total 960
Added 3249; Current median 4405; running total 5365
Added 6820; Current median 4414; running total 9779
Added 1454; Current median 4405; running total 4184
Added 4486; Current median 4414; running total 8598
Added 48; Current median 4405; running total 3003
Added 2740; Current median 4405; running total 7408
Added 7129; Current median 4405; running total 1813
Added 3832; Current median 4405; running total 6218
Added 3083; Current median 4368; running total 586
Added 2757; Current median 4368; running total 4954
Added 34; Current median 4360; running total 9314
Added 493; Current median 4360; running total 3674
Added 3335; Current median 4358; running total 8032
Added 5776; Current median 4360; running total 2392
Added 327; Current median 4358; running total 6750
Added 8907; Current median 4360; running total 1110
Added 4598; Current median 4360; running total 5470
Added 2393; Current median 4360; running total 9830
Added 1828; Current median 4358; running total 4188
Added 2686; Current median 4358; running total 8546
Added 8859; Current median 4358; running total 2904
Added 1567; Current median 4358; running total 7262
Added 4544; Current median 4358; running total 1620
Added 4803; Current median 4360; running total 5980
Added 846; Current median 4358; running total 338
Added 804; Current median 4358; running total 4696
Added 4799; Current median 4358; running total 9054
Added 7501; Current median 4360; running total 3414
Added 3438; Current median 4358; running total 7772
Added 6747; Current median 4360; running total 2132
Added 6120; Current median 4360; running total 6492
Added 9367; Current median 4368; running total 860
Added 4716; Current median 4368; running total 5228
Added 5680; Current median 4405; running total 9633
Added 9613; Current median 4405; running total 4038
Added 971; Current median 4405; running total 8443
Added 9540; Current median 4405; running total 2848
Added 835; Current median 4405; running total 7253
Added 5744; Current median 4405; running total 1658
Added 1563; Current median 4405; running total 6063
Added 3026; Current median 4368; running total 431
Added 8265; Current median 4405; running total 4836
Added 2843; Current median 4368; running total 9204
Added 2110; Current median 4368; running total 3572
Added 5775; Current median 4368; running total 7940
Added 3669; Current median 4368; running total 2308
Added 7130; Current median 4368; running total 6676
Added 9469; Current median 4405; running total 1081
Added 1508; Current median 4368; running total 5449
Added 1023; Current median 4368; running total 9817
Added 2842; Current median 4360; running total 4177
Added 7106; Current median 4368; running total 8545
Added 3702; Current median 4360; running total 2905
Added 2305; Current median 4360; running total 7265
Added 6689; Current median 4360; running total 1625
Added 8818; Current median 4368; running total 5993
Added 7036; Current median 4368; running total 361
Added 5459; Current median 4405; running total 4766
Added 1597; Current median 4368; running total 9134
Added 3473; Current median 4368; running total 3502
Added 4237; Current median 4360; running total 7862
Added 9161; Current median 4368; running total 2230
Added 3672; Current median 4360; running total 6590
Added 4263; Current median 4360; running total 950
Added 1623; Current median 4358; running total 5308
Added 8868; Current median 4360; running total 9668
Added 8655; Current median 4360; running total 4028
Added 9700; Current median 4368; running total 8396
Added 1111; Current median 4360; running total 2756
Added 7874; Current median 4368; running total 7124
Added 7134; Current median 4368; running total 1492
Added 4403; Current median 4403; running total 5895
Added 4392; Current median 4392; running total 287
Added 9019; Current median 4403; running total 4690
Added 4353; Current median 4392; running total 9082
Added 8460; Current median 4403; running total 3485
Added 4278; Current median 4392; running total 7877
Added 8547; Current median 4403; running total 2280
Added 7142; Current median 4403; running total 6683
Added 6056; Current median 4405; running total 1088
Added 6260; Current median 4405; running total 5493
Added 6047; Current median 4414; running total 9907
Added 5896; Current median 4414; running total 4321
Added 6349; Current median 4417; running total 8738
Added 5479; Current median 4417; running total 3155
Added 9229; Current median 4424; running total 7579
Added 9373; Current median 4424; running total 2003
Added 459; Current median 4424; running total 6427
Added 2552; Current median 4417; running total 844
Added 7082; Current median 4424; running total 5268
Added 13; Current median 4417; running total 9685
Added 730; Current median 4417; running total 4102
Added 3214; Current median 4414; running total 8516
Added 2924; Current median 4414; running total 2930
Added 2164; Current median 4405; running total 7335
Added 1633; Current median 4405; running total 1740
Added 4899; Current median 4405; running total 6145
Added 2210; Current median 4405; running total 550
Added 2557; Current median 4403; running total 4953
Added 9853; Current median 4405; running total 9358
Added 511; Current median 4403; running total 3761
Added 2779; Current median 4403; running total 8164
Added 1908; Current median 4392; running total 2556
Added 3903; Current median 4392; running total 6948
Added 3979; Current median 4368; running total 1316
Added 2712; Current median 4368; running total 5684
Added 7079; Current median 4368; running total 52
Added 9656; Current median 4392; running total 4444
Added 2457; Current median 4368; running total 8812
Added 3184; Current median 4368; running total 3180
Added 8171; Current median 4368; running total 7548
Added 7030; Current median 4392; running total 1940
Added 5740; Current median 4392; running total 6332
Added 7649; Current median 4403; running total 735
Added 6778; Current median 4403; running total 5138
Added 5939; Current median 4405; running total 9543
Added 1835; Current median 4403; running total 3946
Added 8078; Current median 4405; running total 8351
Added 1945; Current median 4403; running total 2754
Added 3137; Current median 4403; running total 7157
Added 3783; Current median 4392; running total 1549
Added 6489; Current median 4403; running total 5952
Added 678; Current median 4392; running total 344
Added 8303; Current median 4403; running total 4747
Added 6428; Current median 4403; running total 9150
Added 1909; Current median 4403; running total 3553
Added 7998; Current median 4403; running total 7956
Added 4480; Current median 4405; running total 2361
Added 4914; Current median 4405; running total 6766
Added 2996; Current median 4405; running total 1171
Added 2826; Current median 4403; running total 5574
Added 1120; Current median 4403; running total 9977
Added 7924; Current median 4403; running total 4380
Added 5142; Current median 4405; running total 8785
Added 773; Current median 4403; running total 3188
Added 997; Current median 4403; running total 7591
Added 2297; Current median 4392; running total 1983
Added 7086; Current median 4403; running total 6386
Added 2689; Current median 4392; running total 778
Added 6002; Current median 4403; running total 5181
Added 5284; Current median 4403; running total 9584
Added 3864; Current median 4403; running total 3987
Added 2061; Current median 4392; running total 8379
Added 5177; Current median 4403; running total 2782
Added 7827; Current median 4403; running total 7185
Added 7940; Current median 4405; running total 1590
Added 6495; Current median 4405; running total 5995
Added 4113; Current median 4405; running total 400
Added 3242; Current median 4403; running total 4803
Added 5385; Current median 4405; running total 9208
Added 7112; Current median 4405; running total 3613
Added 4216; Current median 4405; running total 8018
Added 2402; Current median 4403; running total 2421
Added 6392; Current median 4405; running total 6826
Added 7140; Current median 4405; running total 1231
Added 5886; Current median 4414; running total 5645
Added 7359; Current median 4414; running total 59
Added 5911; Current median 4417; running total 4476
Added 5290; Current median 4417; running total 8893
Added 5731; Current median 4424; running total 3317
Added 8877; Current median 4424; running total 7741
Added 3356; Current median 4424; running total 2165
Added 2772; Current median 4417; running total 6582
Added 3753; Current median 4417; running total 999
Added 261; Current median 4414; running total 5413
Added 1323; Current median 4414; running total 9827
Added 7346; Current median 4414; running total 4241
Added 9934; Current median 4417; running total 8658
Added 4534; Current median 4417; running total 3075
Added 8042; Current median 4424; running total 7499
Added 4985; Current median 4424; running total 1923
Added 6304; Current median 4429; running total 6352
Added 8007; Current median 4429; running total 781
Added 2093; Current median 4429; running total 5210
Added 9680; Current median 4429; running total 9639
Added 3116; Current median 4429; running total 4068
Added 3575; Current median 4424; running total 8492
Added 3206; Current median 4424; running total 2916
Added 9341; Current median 4424; running total 7340
Added 5120; Current median 4429; running total 1769
Added 2759; Current median 4424; running total 6193
Added 7755; Current median 4429; running total 622
Added 5995; Current median 4429; running total 5051
Added 3532; Current median 4429; running total 9480
Added 5230; Current median 4429; running total 3909
Added 2650; Current median 4429; running total 8338
Added 7549; Current median 4429; running total 2767
Added 6362; Current median 4437; running total 7204
Added 3737; Current median 4429; running total 1633
Added 1234; Current median 4429; running total 6062
Added 6454; Current median 4429; running total 491
Added 9164; Current median 4437; running total 4928
Added 5165; Current median 4437; running total 9365
Added 6375; Current median 4442; running total 3807
Added 4583; Current median 4442; running total 8249
Added 400; Current median 4442; running total 2691
Added 7812; Current median 4442; running total 7133
Added 1919; Current median 4442; running total 1575
Added 2350; Current median 4437; running total 6012
Added 5265; Current median 4442; running total 454
Added 2978; Current median 4437; running total 4891
Added 9276; Current median 4442; running total 9333
